	dimension 1	dimension 2
1001700606_A1	-34.40562	7.0705357
1001700606_A5	-18.309696	4.139077
1001700606_A8	-45.94063	-22.756983
1001700606_A11	-19.264795	-3.8708825
1001700606_A13	8.923833	-4.719738
1001700606_A21	-24.633259	10.487799
1001700606_B4	-32.286713	2.3416097
1001700606_B7	-40.657543	-21.352308
1001700606_B12	-31.395283	-42.466225
1001700606_B13	-30.034168	-32.791656
1001700606_B14	-32.97113	-11.174355
1001700606_B15	16.464956	-11.680607
1001700606_B16	-12.447886	-21.853975
1001700606_B19	17.073124	-12.417198
1001700606_B20	-33.524845	-4.0832562
1001700606_B22	-19.36915	-18.076075
1001700606_C1	-41.24187	-18.95258
1001700606_C3	-21.62861	-21.970457
1001700606_C6	-13.236225	7.954353
1001700606_C10	-19.495682	-27.844633
1001700606_C13	-12.614684	18.121788
1001700606_C16	-36.67139	-24.394169
1001700606_C18	-10.244898	-13.25273
1001700606_C21	-2.6920872	-4.141631
1001700606_C22	3.624309	23.705734
1001700606_D5	-35.290985	-40.677372
1001700606_D12	-12.965563	0.93241554
1001700606_D14	-21.661732	-9.878468
1001700606_D16	-12.317151	18.424402
1001700606_D17	-14.391089	-40.182076
1001700606_D20	-3.8533924	-26.759787
1001700606_E2	-13.436219	23.15149
1001700606_E5	-12.532263	11.6208315
1001700606_E6	-21.398617	-20.389341
1001700606_E10	-18.121082	-14.106429
1001700606_E12	-2.4520051	8.238036
1001700606_E15	11.501989	3.0164008
1001700606_E17	-3.4127347	-31.063644
1001700606_E18	-36.023846	-26.189022
1001700606_E19	-5.9826856	-37.013565
1001700606_E22	-37.193478	-32.86171
1001700606_F1	-3.3089724	10.788994
1001700606_F3	-21.783945	-31.307772
1001700606_F4	-31.752878	-34.676846
1001700606_F6	-35.75295	-36.40384
1001700606_F8	0.96955645	11.869432
1001700606_F11	-18.858456	-29.979992
1001700606_F13	-17.49823	-22.503487
1001700606_F16	-38.84181	-13.578544
1001700606_F18	10.768505	-21.091316
1001700606_F21	-36.837517	-22.902596
1001700606_G3	26.941133	-10.432826
