	dimension 1	dimension 2
1001700609_A21	36.73627	20.765747
1001700609_A22	-33.709194	-17.08386
1001700609_B6	-51.44633	-24.538284
1001700609_B12	-20.561703	6.6277957
1001700609_B15	-28.772284	-13.114925
1001700609_B22	-15.034127	-9.0538645
1001700609_C3	-17.103989	9.637547
1001700609_C4	-19.391848	-36.19218
1001700609_C7	-25.12692	-28.058073
1001700609_C9	-56.631317	-28.96276
1001700609_C13	-9.982825	-14.9389
1001700609_C16	-25.81614	-4.8135896
1001700609_C20	24.132057	35.074463
1001700609_C21	-34.507416	-13.503487
1001700609_C22	-3.2656236	-32.6626
1001700609_D2	-18.8928	-2.7807522
1001700609_D8	1.0844053	-8.482677
1001700609_D14	-7.048445	9.942913
1001700609_D20	-19.04804	-19.108194
1001700609_D21	-25.377254	-1.4718549
1001700609_E1	-65.85174	-27.189503
1001700609_E9	40.933594	-12.6386175
1001700609_E11	-34.24858	-29.428347
1001700609_E12	-35.931988	0.9826704
1001700609_E15	12.395098	1.7567298
1001700609_E17	7.94121	6.625281
1001700609_E19	-0.2743904	-6.6140265
1001700609_E21	-24.121614	-20.328342
1001700609_F6	-31.277826	-18.81384
1001700609_F8	-1.5311592	-26.938423
1001700609_F11	-34.890797	-26.27988
1001700609_F13	-12.235255	1.1824278
1001700609_F14	-16.882998	-13.451616
1001700609_F16	-42.669598	-25.255108
1001700609_F22	-36.69044	-35.971855
1001700609_G2	-30.312645	-6.60099
1001700609_G7	-20.955936	10.206308
1001700609_G10	-14.313956	8.072388
1001700609_G15	-44.08489	-9.08628
1001700609_G16	1.9449091	-23.165245
1001700609_G18	-32.02024	-25.908323
1001700609_G19	19.33662	-16.409096
1001700609_G21	-21.702356	-21.981804
1001700609_H3	-21.023842	-2.5405672
1001700609_H5	-4.3978567	-1.9542371
1001700609_H8	-53.110683	-24.933744
1001700609_H11	-29.715273	-5.061231
1001700609_H13	-10.25871	-3.8880556
1001700609_H18	-17.720114	3.025923
1001700609_H20	-18.911781	1.8093762
1001700609_I1	-37.76805	-19.063814
1001700609_I4	-20.03464	-32.677166
1001700609_I7	-34.603523	-18.977076
1001700609_I10	-16.86411	2.0086226
1001700609_I13	-4.054686	13.509984
1001700609_I15	-12.795569	8.3717375
1001700609_I17	-20.758705	-25.70571
1001700609_I19	-51.76001	-24.52507
1001700609_I21	-1.3605831	-1.4963616
1001700609_J2	-22.002296	-29.711094
1001700609_J6	-28.98931	-0.3314324
1001700609_J8	-46.085163	-17.774242
1001700609_J11	14.812807	-19.557251
1001700609_J12	-37.022514	-36.475456
1001700609_J14	32.379852	27.553162
1001700609_J16	-29.056025	-16.40204
1001700609_J19	-20.007805	-29.295355
1001700609_J21	-20.10325	3.544895
1001700609_J22	-34.4943	-23.113745
1001700609_K3	-34.581642	2.19778
1001700609_K4	-11.7607975	11.276377
1001700609_K11	-16.871088	-33.113857
1001700609_K12	-31.25179	-12.394239
1001700609_K18	-21.03152	-8.78841
1001700609_K20	-37.673668	-37.42248
1001700609_K22	-25.409077	-16.767973
1001700609_L1	7.683163	-32.89176
1001700609_L2	-2.3262265	0.35093692
1001700609_L5	-20.758871	2.4264376
1001700609_L10	-23.218735	-8.655884
1001700609_L13	-1.3677318	11.0988655
1001700609_L19	-28.461895	-8.311512
1001700609_L20	-52.3806	-22.758944
1001700609_L21	-22.97463	-32.866615
1001700609_M2	13.112771	1.5720022
1001700609_M3	-23.297592	-0.17361705
1001700609_M6	-31.634726	-33.76115
1001700609_M8	-24.090775	7.2285194
1001700609_M12	-11.201903	4.665732
1001700609_M14	-36.28336	-21.300297
1001700609_M17	-18.80596	-22.909973
1001700609_M18	-34.402405	-28.404762
1001700609_M22	-15.296072	4.3601694
1001700609_N2	42.097664	40.74332
1001700609_N4	-31.912424	-4.293979
1001700609_N5	-15.223288	-16.205048
1001700609_N7	14.228481	5.2880297
1001700609_N9	-27.850946	-23.275879
1001700609_N11	-5.394588	-33.62758
1001700609_N12	-17.94126	-9.785616
1001700609_N13	-31.935333	-13.358239
1001700609_N14	2.196109	1.0786184
1001700609_N15	-24.61406	-13.911308
1001700609_N16	-37.40574	-22.035751
1001700609_N17	-16.928106	-12.660309
1001700609_N18	-36.884556	-23.228645
1001700609_N21	-34.14134	-11.077962
1001700609_O3	-13.055797	7.4622054
1001700609_O6	17.885603	-20.79512
1001700609_O12	-26.018854	5.8102255
1001700609_O14	6.8878627	-14.887887
1001700609_O17	-14.836541	-34.658512
1001700609_O19	-16.126995	-10.869905
1001700609_O22	-23.166716	-2.5008404
1001700609_P8	-28.351288	-29.206503
1001700609_P11	-16.357977	-35.22839
1001700609_P15	-26.26067	-25.55461
1001700609_P18	-9.191808	14.1103
1001700609_P20	-15.830997	-36.856197
1001700609_P21	-5.737989	37.65491
1001700610_M21	14.268506	38.98635
1001700611_A3	-31.973467	-21.106321
1001700611_A4	-17.485708	0.49991938
1001700611_A7	-46.02085	-16.253084
1001700611_A10	-21.145594	-5.662327
1001700611_A14	-59.377857	-26.73081
1001700611_B6	-21.099714	-20.314482
1001700611_B9	-27.158222	-3.9805226
1001700611_B11	-18.035336	-29.392498
1001700611_B15	-32.141724	-33.36318
1001700611_B20	-58.662273	-11.503311
1001700611_B22	-32.114113	-29.050995
1001700611_C5	-22.772768	-2.4572122
1001700611_C9	-26.976791	-0.13933867
1001700611_C13	-65.55945	-18.621178
1001700611_C16	-38.73555	-20.877419
1001700611_C17	-60.995388	-21.630888
1001700611_C18	-63.67361	-24.626066
1001700611_C19	-44.047825	-20.672052
1001700611_C20	-61.97097	-8.174162
1001700611_C22	-73.74263	-18.686707
1001700611_D3	-61.014153	-16.18647
1001700611_D7	-23.01311	-7.710389
1001700611_D9	-38.767994	-28.610065
1001700611_D12	-32.862335	-26.968048
1001700611_D16	-32.802464	-19.109592
1001700611_D18	-16.497608	-26.643877
1001700611_D21	-45.74042	-17.194088
1001700611_E4	-60.916782	-22.01782
1001700611_E6	-31.685335	-22.115255
1001700611_E7	-47.950924	-20.777363
1001700611_E9	-46.315834	-11.978685
1001700611_E10	-66.96369	-19.97147
1001700611_E11	-62.843475	-18.281273
1001700611_E14	-27.056688	-1.9851134
1001700611_E17	-30.270023	-36.389896
1001700611_E18	-25.85778	-0.50541884
1001700611_E20	-65.3307	-16.546545
1001700611_E22	3.0452287	4.26222
1001700611_F3	-26.246578	-7.877552
1001700611_F4	-28.397203	2.0263014
1001700611_F12	-41.27406	-18.36895
1001700611_F17	-45.37448	-12.4417715
1001700611_F19	-37.33558	-26.261948
1001700611_F21	-21.944733	-2.374065
1001700611_G10	-43.121983	-14.985474
1001700611_G13	-32.930527	-18.74876
1001700611_G15	-62.74431	-20.389706
1001700611_G16	-13.507246	1.5410295
1001700611_G19	-13.672438	2.7428732
1001700611_G22	-12.539067	8.826248
1001700611_H6	-44.956207	-24.771975
1001700611_H11	-27.944748	-9.751438
1001700611_H13	-10.409633	10.533346
1001700611_H17	-58.16809	-17.574423
1001700611_H18	-38.49746	-15.758019
1001700611_H20	-35.367516	3.830769
1001700611_H21	-60.821514	-19.592075
1001700611_I3	-10.38421	9.85081
1001700611_I5	13.655101	-21.126553
1001700611_I8	-66.084984	-24.15641
1001700611_I11	-27.303354	-16.544512
1001700611_I13	-13.996928	10.177266
1001700611_I15	-29.847082	-19.419065
1001700611_I16	-47.121483	-11.641046
1001700611_I19	-71.90537	-19.07997
1001700611_I21	-41.075222	-17.47787
1001700611_J6	-44.08907	-23.277193
1001700611_J14	-39.38161	-28.422709
1001700611_J18	-24.345856	-6.3212485
1001700611_J20	-30.837273	-9.800708
1001700611_K6	-37.892647	-4.483387
1001700611_K9	-38.271183	-22.005936
1001700611_K11	-33.273495	-27.647053
1001700611_K12	-38.179897	-14.245738
1001700611_K13	-19.94658	-26.934626
1001700611_K15	-63.916924	-16.026495
1001700611_K19	-18.864147	-34.368862
1001700611_K22	-1.0156446	14.996913
1001700611_L2	-40.219425	-27.635773
1001700611_L4	-12.639329	4.249225
1001700611_L5	-35.238277	-31.684017
1001700611_L7	-39.496616	-23.565645
1001700611_L8	-28.54128	-10.669491
1001700611_L10	-26.982164	-26.790247
1001700611_L12	-39.75498	-15.259386
1001700611_L16	-64.49164	-25.803988
1001700611_L17	-22.992495	-20.833397
1001700611_L19	-52.945225	-22.501736
1001700611_L21	-28.493387	-26.644665
1001700611_M2	-28.22972	-1.9760396
1001700611_M5	-19.943428	-23.503036
